ConceptId	MapTarget
10637111000119102	L892
10637151000119101	L893
10637751000119102	L97X
10637791000119107	M8737
10637791000119107	L97X
10637831000119101	L97X
10637871000119103	R02X
10637871000119103	L97X
10640791000119105	L97X
10640831000119104	M8736
10640831000119104	L97X
10640871000119101	L97X
10640911000119103	R02X
10640911000119103	L97X
10641391000119104	L97X
10641431000119109	L97X
10641431000119109	M8796
10641511000119103	L97X
10641511000119103	R02X
10642151000119103	R02X
10642151000119103	L97X
10642191000119108	#HLT
10642231000119104	M8735
10642231000119104	L97X
10642311000119101	#HLT
10642351000119100	L984
10642391000119105	L984
106451000119106	E069
106451000119106	E049
1064681000000109	N879
1064711000000108	#NC
1064721000000102	R80X
1064841000000102	#NC
10649000	E229
1064961000000107	#NC
1064991000000101	#HLT
10650000	T412
1065001000000108	#HLT
1065011000000105	#HLT
1065021000000104	#HLT
1065031000000102	#HLT
1065041000000106	#HLT
1065051000000109	#HLT
1065061000000107	#HLT
1065071000000100	#HLT
1065081000000103	#HLT
10650831000119101	I830
10650831000119101	R600
1065091000000101	#HLT
10651001	F070
1065101000000109	#HLT
1065111000000106	#HLT
1065121000000100	#HLT
1065131000000103	#HLT
1065191000000102	T149
1065201000000100	T149
1065211000000103	T149
1065221000000109	T149
1065231000000106	T149
1065241000000102	T149
1065251000000104	T149
1065271000000108	T149
10652791000119106	I830
10652791000119106	R600
1065281000000105	T149
1065291000000107	T149
10653003	K070
1065301000000106	#HLT
1065311000000108	T149
1065321000000102	T149
1065411000000104	#HLT
10656231000119100	E105
10656231000119100	L97X
10656271000119102	E115
10656271000119102	L97X
1065701000000105	A491
1065701000000105	U831
1065811000000102	#NC
1065891000000106	#NC
1065921000000103	#NC
1065931000000101	#NC
1065941000000105	#NC
1065951000000108	#NC
1065961000000106	#NC
1065971000000104	#NC
10660471000119109	E115
10660471000119109	L97X
1066071000000109	T149
1066081000000106	T149
1066091000000108	T149
10661000087107	T812
10661008	N834
1066121000000109	I830
1066131000000106	I830
1066141000000102	#NC
1066151000000104	#NC
1066161000000101	#NC
10661671000119102	E115
10661671000119102	L97X
10662001	S008
1066221000000100	#NC
10662511000119101	L97X
1066261000000108	#NC
1066421000000104	T149
1066451000000109	#NC
1066461000000107	#NC
1066471000000100	#NC
1066481000000103	#NC
1066491000000101	#NC
10665004	B263D
10665004	K871A
1066501000000107	#NC
1066511000000109	#NC
1066521000000103	#NC
1066531000000101	#NC
1066541000000105	#NC
1066551000000108	K318
1066581000000102	#NC
10666031000119100	L97X
10666031000119100	I7020
1066631000000100	#NC
1066651000000107	#NC
1066781000000109	#NC
1066831000000104	I489
1066881000000100	#NC
1067061000000104	#NC
10671005	S409
1067111000000100	Z038
1067131000000108	#NC
1067141000000104	#NC
1067151000000101	#NC
1067161000000103	#NC
1067201000000106	F509
1067201000000106	E109
10672271000119100	J9600
10672271000119100	J9610
1067291000000104	#NC
1067311000000103	T149
1067321000000109	T149
1067331000000106	T149
1067341000000102	T149
1067351000000104	T149
1067361000000101	T149
1067371000000108	T149
1067381000000105	T149
1067391000000107	T149
1067401000000105	T149
1067411000000107	T149
1067421000000101	T149
1067431000000104	T149
1067441000000108	T149
1067451000000106	T149
